title,author,rating,image,url
시노딕,현욱,9.93,https://image-comic.pstatic.net/webtoon/668103/thumbnail/thumbnail_IMAG21_3834870476529742133.jpg,/webtoon/list?titleId=668103
레이디악숀,령 / 박혬,9.10,https://image-comic.pstatic.net/webtoon/748421/thumbnail/thumbnail_IMAG21_4062581538030772528.jpg,/webtoon/list?titleId=748421
그래서 나는 안티팬과 결혼했다,재림 / 김은정,9.95,https://image-comic.pstatic.net/webtoon/721457/thumbnail/thumbnail_IMAG21_3763146962245073202.jpg,/webtoon/list?titleId=721457
속삭이는 e로맨스,최경아,9.87,https://image-comic.pstatic.net/webtoon/723414/thumbnail/thumbnail_IMAG21_3487019094511858485.jpg,/webtoon/list?titleId=723414
마음의 숙제,고아라,9.97,https://image-comic.pstatic.net/webtoon/721919/thumbnail/thumbnail_IMAG21_7233732325609333092.JPEG,/webtoon/list?titleId=721919
이제 곧 죽습니다,이원식 / 꿀찬,9.66,https://image-comic.pstatic.net/webtoon/727189/thumbnail/thumbnail_IMAG21_4123387648317351472.jpg,/webtoon/list?titleId=727189
방 안의 코끼리,고요,9.97,https://image-comic.pstatic.net/webtoon/718017/thumbnail/thumbnail_IMAG21_3558515714214148407.jpg,/webtoon/list?titleId=718017
밀웜,쿼시,9.86,https://image-comic.pstatic.net/webtoon/734041/thumbnail/thumbnail_IMAG21_3617010840930169396.jpg,/webtoon/list?titleId=734041
빙탕후루,장희 / 주호민,9.95,https://image-comic.pstatic.net/webtoon/695321/thumbnail/thumbnail_IMAG21_4122026650577876836.jpg,/webtoon/list?titleId=695321
뚝배기 깨러 왔습니다,임성훈,8.71,https://image-comic.pstatic.net/webtoon/748414/thumbnail/thumbnail_IMAG21_3918807207163539558.jpg,/webtoon/list?titleId=748414
102030,H / JMS,8.96,https://image-comic.pstatic.net/webtoon/748416/thumbnail/thumbnail_IMAG21_7089902082058183473.jpg,/webtoon/list?titleId=748416
진정친구,설주,9.86,https://image-comic.pstatic.net/webtoon/748417/thumbnail/thumbnail_IMAG21_3702349642042259512.jpg,/webtoon/list?titleId=748417
살의,길연,9.72,https://image-comic.pstatic.net/webtoon/748418/thumbnail/thumbnail_IMAG21_4122545418099241522.jpg,/webtoon/list?titleId=748418
우리 안의 주,폭스바니,9.23,https://image-comic.pstatic.net/webtoon/748419/thumbnail/thumbnail_IMAG21_7148961060637522230.jpg,/webtoon/list?titleId=748419
검은인간,이저녁,9.98,https://image-comic.pstatic.net/webtoon/718021/thumbnail/thumbnail_IMAG21_7378080789753586790.jpg,/webtoon/list?titleId=718021
호러전파상,봄소희 / 김선희,9.75,https://image-comic.pstatic.net/webtoon/729037/thumbnail/thumbnail_IMAG21_77dd3ae6-dfe5-43cd-a3f4-1867420aed3d.jpg,/webtoon/list?titleId=729037
여고전설,어스문 / 이제스,8.73,https://image-comic.pstatic.net/webtoon/736227/thumbnail/thumbnail_IMAG21_4135768137236833328.jpg,/webtoon/list?titleId=736227
오라존미,허5파6,9.97,https://image-comic.pstatic.net/webtoon/722386/thumbnail/thumbnail_IMAG21_7233683907637557349.jpg,/webtoon/list?titleId=722386
열정호구,솔뱅이,9.93,https://image-comic.pstatic.net/webtoon/686312/thumbnail/thumbnail_IMAG21_3702352726717575730.jpg,/webtoon/list?titleId=686312
사소한 냐냐,LICO,9.86,https://image-comic.pstatic.net/webtoon/730811/thumbnail/thumbnail_IMAG21_3616500874495801441.jpg,/webtoon/list?titleId=730811
스위트홈,김칸비 / 황영찬,9.97,https://image-comic.pstatic.net/webtoon/701081/thumbnail/thumbnail_IMAG21_3761692268951647077.jpg,/webtoon/list?titleId=701081
신의한수,이순기 / 민홍기,9.55,https://image-comic.pstatic.net/webtoon/748409/thumbnail/thumbnail_IMAG21_4121466767264790584.jpg,/webtoon/list?titleId=748409
좀비소녀,DAMA,9.89,https://image-comic.pstatic.net/webtoon/748411/thumbnail/thumbnail_IMAG21_7233118762972755504.jpg,/webtoon/list?titleId=748411
환생소녀,이지훈 / 한아름,9.83,https://image-comic.pstatic.net/webtoon/748412/thumbnail/thumbnail_IMAG21_7075266289554973025.jpg,/webtoon/list?titleId=748412
방정사,할리데이 / 도진,9.92,https://image-comic.pstatic.net/webtoon/748413/thumbnail/thumbnail_IMAG21_3702584735784382820.JPEG,/webtoon/list?titleId=748413
데이빗,d몬,9.92,https://image-comic.pstatic.net/webtoon/745186/thumbnail/thumbnail_IMAG21_7221583812171817316.JPEG,/webtoon/list?titleId=745186
푸른사막 아아루,달꽃,9.97,https://image-comic.pstatic.net/webtoon/697254/thumbnail/thumbnail_IMAG21_3703700941885945441.jpg,/webtoon/list?titleId=697254
첫사랑입니다만,산차 / 이노,9.93,https://image-comic.pstatic.net/webtoon/727836/thumbnail/thumbnail_IMAG21_7148726864640565814.jpg,/webtoon/list?titleId=727836
갓!김치,김민우,7.42,https://image-comic.pstatic.net/webtoon/730258/thumbnail/thumbnail_IMAG21_7076061240723268705.jpg,/webtoon/list?titleId=730258
203호 저승사자,샤니,9.92,https://image-comic.pstatic.net/webtoon/670140/thumbnail/thumbnail_IMAG21_3473463026587874102.jpg,/webtoon/list?titleId=670140
돼지우리,김칸비 / 천범식,9.88,https://image-comic.pstatic.net/webtoon/724854/thumbnail/thumbnail_IMAG21_3833460919822935650.jpg,/webtoon/list?titleId=724854
Yes my boss(예스마이보스),김밀콩,9.97,https://image-comic.pstatic.net/webtoon/746747/thumbnail/thumbnail_IMAG21_3691089363156873827.jpg,/webtoon/list?titleId=746747
플라워(FLOWAR),홍작가,9.93,https://image-comic.pstatic.net/webtoon/746748/thumbnail/thumbnail_IMAG21_4062639613753506102.jpg,/webtoon/list?titleId=746748
한스와 에밀리,김지효,9.91,https://image-comic.pstatic.net/webtoon/746749/thumbnail/thumbnail_IMAG21_3473454406658450787.jpg,/webtoon/list?titleId=746749
태릉좀비촌,하얀독수리,9.44,https://image-comic.pstatic.net/webtoon/746750/thumbnail/thumbnail_IMAG21_7219944436176872249.jpg,/webtoon/list?titleId=746750
토니와 함께,정성완,9.93,https://image-comic.pstatic.net/webtoon/746751/thumbnail/thumbnail_IMAG21_3486407757406745913.jpg,/webtoon/list?titleId=746751
영월동 534번지,임성훈 / 정보근,9.82,https://image-comic.pstatic.net/webtoon/746752/thumbnail/thumbnail_IMAG21_3691092855757170225.jpg,/webtoon/list?titleId=746752
고인의 명복,조주희 / 유노,9.98,https://image-comic.pstatic.net/webtoon/716776/thumbnail/thumbnail_IMAG21_3474075630677615202.jpg,/webtoon/list?titleId=716776
루시퍼의 경호원,문설희 / 직선,9.60,https://image-comic.pstatic.net/webtoon/730202/thumbnail/thumbnail_IMAG21_3689073039139747635.jpg,/webtoon/list?titleId=730202
악취,디귿 ,9.92,https://image-comic.pstatic.net/webtoon/729946/thumbnail/thumbnail_IMAG21_3472338200439304291.jpg,/webtoon/list?titleId=729946
금붕어,명랑 / 애풍,9.96,https://image-comic.pstatic.net/webtoon/723790/thumbnail/thumbnail_IMAG21_7365462798655578725.jpg,/webtoon/list?titleId=723790
냄새를 보는 소녀,만취,9.97,https://image-comic.pstatic.net/webtoon/746740/thumbnail/thumbnail_IMAG21_7234019280916984881.JPEG,/webtoon/list?titleId=746740
언럭키 맨션,약국,9.97,https://image-comic.pstatic.net/webtoon/746741/thumbnail/thumbnail_IMAG21_7149237244261721443.jpg,/webtoon/list?titleId=746741
